	B-cells_Memory B-cells_Memory B-cells	B-cells_Naive B-cells_Naive B-cells	CAFs_Inflammatory-CAFs_Inflammatory-CAFs 1	CAFs_Inflammatory-CAFs_Inflammatory-CAFs 2	CAFs_Myofibroblast-like CAFs_Myofibroblast-like CAFs 1	CAFs_Myofibroblast-like CAFs_Myofibroblast-like CAFs 2	CAFs_Myofibroblast-like CAFs_Transitioning CAFs	Endothelial_Lymphatic_endothelial_Lymphatic_endothelial	Endothelial_Pericyte-like endothelial cells_Pericyte-like endothelial cells	Endothelial_Stalk-like endothelial cells_Stalk-like endothelial cells	Endothelial_Tip-like endothelial cells_Tip-like endothelial cells	Epithelial_cancer_Her2_SC	Epithelial_cancer_LumB_SC	Epithelial_normal_Luminal Progenitors	Epithelial_normal_Mature Luminal	Epithelial_normal_Myoepithelial	Myeloid_Cycling_Cycling Myeloid	Myeloid_DCs_cDC1	Myeloid_DCs_cDC2	Myeloid_DCs_pDC	Myeloid_Macrophage_LAM 1	Myeloid_Macrophage_LAM 2	Myeloid_Macrophage_Macrophage 1	Myeloid_Macrophage_Macrophage 2	Myeloid_Monocyte_Monocyte 1	Myeloid_Monocyte_Monocyte 2	Plasmablasts_Plasmablasts_Plasmablasts	SMCs_Differeniated SMCs_Differeniated SMCs 2	SMCs_Differeniated SMCs_Differeniated SMCs 3	SMCs_Differeniated SMCs_Transitioning SMCs 1	SMCs_Immature SMCs_Immature SMCs 1	SMCs_Immature SMCs_Immature SMCs 2	T-cells_CD4+ T-cells_CD4+ T-cells 1	T-cells_CD4+ T-cells_CD4+ T-cells 2	T-cells_CD4+ T-cells_T-Regs	T-cells_CD4+ T-cells_Tfh cells	T-cells_CD8+ T-cells_CD8+ T-cells 1	T-cells_CD8+ T-cells_CD8+ T-cells 4	T-cells_CD8+ T-cells_CD8+ T-cells 5	T-cells_CD8+ T-cells_Exhausted CD8+ T-cells	T-cells_Cycling_Cycling T-cells	T-cells_NK cells_NK cells	T-cells_NKT_NKT
3957x5397	1.0608531000000001e-10	1.0622055e-10	1.0680971e-10	0.03773323	1.06489546e-10	0.0036913834	1.0658321399999999e-10	1.06154925e-10	0.0076849284	0.016749065	1.0629006000000001e-10	0.089311406	0.25702152	0.07869654	0.26912266	1.0668693999999999e-10	0.016938748	1.0656898999999999e-10	0.01050033	0.007815885	1.0653606499999999e-10	0.01478776	0.010562159	0.044166457	1.0668512e-10	1.06653575e-10	0.020665823	1.062629e-10	0.0018349608	0.01185089	3.7100784e-10	1.0660456499999999e-10	1.0635921e-10	1.06736404e-10	0.007320474	0.009188281999999999	0.053175114	1.0634908e-10	1.0670688000000001e-10	1.0665093000000001e-10	0.029906837000000002	1.0656796999999999e-10	0.0012755523
3720x5534	1.0631675e-10	1.0660569599999999e-10	1.0681778000000001e-10	0.019774118	0.009981695	1.0681473000000001e-10	1.0683306e-10	1.06308434e-10	0.0032727922999999997	0.0038459342999999997	0.010315923000000001	0.093568675	0.28574467	0.057642605	0.29266164	1.06362176e-10	1.0663904499999999e-10	1.0677725400000001e-10	1.0674324e-10	1.0674893999999999e-10	0.08375583	1.0664007e-10	1.0670274e-10	1.0678153000000001e-10	1.07003344e-10	0.056162167	0.019115996	1.0669886499999999e-10	0.0075507740000000005	1.06470374e-10	0.0031325244	1.0668605e-10	1.06973964e-10	0.030042903	1.0672268600000001e-10	1.0641595e-10	1.0667526e-10	1.0654126e-10	0.010871774499999999	0.012560057	1.0683693500000001e-10	1.0660794e-10	1.0666833999999999e-10
3958x5670	0.008761493	1.0618223999999999e-10	0.044974502	0.005257120400000001	0.043994516	1.06187704e-10	1.0611805e-10	1.059979e-10	1.0618608000000001e-10	1.0660311000000001e-10	0.0019376754000000002	0.027271068	0.21904163	0.08701041	0.13412072	1.0630118000000001e-10	0.025570834	0.03577286	0.08534763	0.010785986000000001	1.0649580500000001e-10	0.00033936527	1.0654883e-10	0.07308492	0.011360492	1.063744e-10	0.033224814	0.0039240755	1.0642533400000001e-10	1.0613788999999999e-10	1.0621342e-10	1.0621383e-10	1.0639448999999999e-10	0.047732122	0.033461712000000005	0.024842262	1.0660046499999999e-10	1.06109545e-10	0.025389137000000003	1.0637926999999999e-10	0.01679474	1.06148826e-10	1.0644401999999999e-10
3721x5807	0.0033706878	1.2709932e-10	0.04120288	0.009538555	0.019274136	1.2744937e-10	1.2725335e-10	0.009896659	1.27093e-10	1.2708357e-10	0.0065272716000000005	0.16079319	0.20342693	0.09264839999999999	0.24826352	1.2709495e-10	0.014545352	1.2738084e-10	0.015620516000000001	1.2695563999999998e-10	0.020586275	1.2713108e-10	1.2726596e-10	0.01759919	0.0662569	1.2736869e-10	0.018917652	1.2712453000000001e-10	0.00095407397	1.2698421e-10	1.2694547e-10	1.268339e-10	0.011224551999999999	0.011505565	1.2693675e-10	0.006550708000000001	1.2753471999999998e-10	1.2689051e-10	0.021296851000000002	1.2730093e-10	1.2732108e-10	1.2718394e-10	1.2698713e-10
3959x5943	1.3668683999999998e-10	0.004259275999999999	1.3701755e-10	0.04363623	0.0010600319	0.012965643999999998	1.3697157e-10	1.3672856e-10	0.011269005	0.0077698540000000005	0.0016894744	0.028093168999999998	0.31646833	0.08876195	0.1862573	0.0117714	1.3702645e-10	0.024907807	1.3718648e-10	1.3650238e-10	0.013938958999999999	0.0405414	1.3673716e-10	0.037219666	0.038681276	1.3675465e-10	1.3638606e-10	1.3671135e-10	0.010850658999999999	1.3684831000000002e-10	0.016503055	1.3678125e-10	1.3690027e-10	0.04358221599999999	0.011902247	1.3672856e-10	1.3694075e-10	1.3655367e-10	0.009041503000000001	1.3692195e-10	0.038829543	1.3632206e-10	1.3642248000000002e-10
3722x6080	1.5921718e-10	1.5927976e-10	0.0076810224	0.0476474	0.015819333	1.5928736e-10	1.595945e-10	1.593062e-10	0.020669363	1.5977146e-10	0.03083231	0.11844027	0.17814302	0.055590943	0.20957047	0.007986046	0.02270874	1.5971235e-10	0.02223328	1.5911852e-10	1.5977451000000001e-10	1.5945789e-10	1.5946063e-10	0.016888091	0.08184688	1.6001545e-10	0.05145232	0.030887618999999998	1.5943995e-10	1.5952817e-10	0.014435815	1.5917012e-10	1.5991475e-10	1.596076e-10	0.014289223	1.5920111e-10	0.019549498000000002	0.003474374	0.01808249	1.5947826e-10	0.0016788373000000002	1.5990531000000001e-10	0.010092732
3960x6216	1.647699e-10	1.6447757e-10	1.6535295e-10	0.017484618	0.01496537	0.022448761	1.650703e-10	0.0025058652	8.79807e-05	1.6462759e-10	0.006827527	0.08409449	0.30003506	0.053120207	0.27722892	0.009312711999999999	0.017807964	1.6459586000000002e-10	0.028253205	0.0077274833	1.651506e-10	0.04009257	1.6506212e-10	0.016654322	0.013233246	1.6512793e-10	0.022106305	1.6444902e-10	0.016061045	1.6441139e-10	1.6477461e-10	1.6450768999999998e-10	1.6523378e-10	0.0010783883	1.6450863e-10	0.0072554080000000005	0.008463647	1.6467751999999998e-10	1.6452871000000002e-10	1.647394e-10	0.033154964	1.6511563999999998e-10	1.6421864e-10
3722x6353	2.625977e-10	0.008534109	0.0068687340000000005	2.6299717999999997e-10	0.0046786829999999995	0.016802518	2.6304484e-10	2.6251407000000004e-10	0.055126327999999995	0.015655234	2.623889e-10	0.11918142400000001	0.2200244	0.05018448	0.24655256	0.026226666000000003	0.040352006	0.025169855	2.626167e-10	2.620318e-10	0.034838594	2.629721e-10	0.047559947000000005	0.009058825	2.629024e-10	2.626002e-10	0.006348719399999999	0.021291047	0.004906734	2.6313012999999996e-10	2.629009e-10	2.6264274e-10	0.018295556	0.006787945	2.620073e-10	2.626167e-10	2.6269087e-10	2.626473e-10	2.623699e-10	2.620438e-10	2.6206182e-10	0.015555608	2.622573e-10
3960x6489	0.01164342	1.8316948e-10	0.007858349	0.045147274	0.039995544	0.017463526	1.8316215e-10	0.0003178137	0.009884533499999999	1.8338621000000002e-10	0.011864815	0.1068452	0.19037655	0.091659166	0.15671578	0.025365626000000002	0.01387305	1.82931e-10	0.011446688	1.8282778000000001e-10	0.025747963999999998	0.023385964	1.831901e-10	0.030632053	1.835815e-10	0.004618038400000001	0.023060529	1.8264094e-10	1.8293031000000002e-10	1.8293975e-10	1.8301933999999999e-10	1.8284103e-10	1.8286264e-10	1.8288426e-10	1.828187e-10	0.008120866	0.050421484	0.012320088	1.8339986e-10	2.4425717000000002e-08	0.051905207	1.8300639e-10	0.029330386
3723x6626	1.9722855e-10	1.970259e-10	0.020375175	0.038189508	1.9800352e-10	1.975497e-10	0.012974991000000002	0.008740445999999999	0.01109882	1.9700973e-10	1.971789e-10	0.15458971	0.20865282	0.07733706	0.15024067	0.02955922	1.9803033e-10	0.01065608	1.9752634e-10	0.0026798025	0.05070617400000001	0.008645309	1.9764845e-10	0.058148242999999995	1.979665e-10	0.010509072	0.02229696	0.022439107000000003	1.9758888e-10	1.9741447e-10	0.018706099999999996	1.9720486000000002e-10	1.9767295e-10	0.038748287	0.0036220232	1.968681e-10	1.9806921000000002e-10	1.9799218e-10	1.9711949e-10	1.9759717e-10	0.02188177	0.019202616000000002	1.9687863999999999e-10
